u_arrival_time,optimal_alpha_lp,optimal_alpha_simple_lp
0,0.7525252525252525,0.6249999999999999
1,0.6605632120992128,0.6262626262626261
2,0.6606015136570745,0.6275510204081631
3,0.6606796801016901,0.6288659793814431
4,0.6607993226189591,0.6302083333333333
5,0.6609621015540194,0.6315789473684209
6,0.661169727746698,0.6329787234042552
7,0.6614239639009982,0.6344086021505375
8,0.6617266259894508,0.6358695652173914
9,0.6620795846931858,0.6373626373626372
10,0.6624847668785958,0.6388888888888888
11,0.6629441571114867,0.6404494382022471
12,0.6634597992096296,0.6420454545454545
13,0.6640337978346499,0.6436781609195402
14,0.664668320124213,0.6453488372093023
15,0.6653655973654911,0.6470588235294117
16,0.6661279267109118,0.6488095238095237
17,0.6669576729372199,0.6506024096385541
18,0.6678572702489058,0.6524390243902438
19,0.6688292241270785,0.6543209876543209
20,0.6689189189189187,0.65625
21,0.6689189189189189,0.6582278481012657
22,0.6689189189189185,0.6602564102564102
23,0.6689189189189185,0.6623376623376622
24,0.6689189189189185,0.6644736842105262
25,0.6689189189189187,0.6666666666666665
26,0.6689189189189189,0.6644736842105262
27,0.668918918918919,0.6623376623376622
28,0.6689189189189186,0.6602564102564102
29,0.6689189189189187,0.6582278481012657
30,0.6689189189189187,0.65625
31,0.6688292241270783,0.6543209876543209
32,0.6678572702489061,0.6524390243902438
33,0.6669576729372196,0.6506024096385541
34,0.6661279267109116,0.6488095238095237
35,0.6653655973654908,0.6470588235294117
36,0.6646683201242131,0.6453488372093023
37,0.6640337978346502,0.6436781609195402
38,0.6634597992096294,0.6420454545454545
39,0.6629441571114865,0.6404494382022471
40,0.6624847668785955,0.6388888888888888
41,0.6620795846931855,0.6373626373626372
42,0.6617266259894504,0.6358695652173914
43,0.6614239639009981,0.6344086021505375
44,0.6611697277466976,0.6329787234042552
45,0.660962101554019,0.6315789473684209
46,0.6607993226189597,0.6302083333333333
47,0.6606796801016898,0.6288659793814431
48,0.6606015136570744,0.6275510204081631
49,0.6605632120992121,0.6262626262626261
50,0.7525252525252525,0.6249999999999999
