size_V,N,optimal_value_dual
10,1,0.5294117647058822
10,2,0.5294117647058825
10,3,0.5559116403389329
10,4,0.5679875215637457
10,5,0.5679875215637457
20,1,0.5135135135135137
20,2,0.5135135135135139
20,3,0.5393792131488351
20,4,0.5452700600080533
20,5,0.5514779966665712
30,1,0.508771929824561
30,2,0.5087719298245617
30,3,0.5333536989981587
30,4,0.5396842359650191
30,5,0.5464080292547083
40,1,0.5064935064935073
40,2,0.5064935064935066
40,3,0.5281783519593289
40,4,0.5378165362115442
40,5,0.5438995363033452
50,1,0.5051546391752575
50,2,0.5051546391752566
50,3,0.5275568627246314
50,4,0.5340539418485941
50,5,0.5424635985398188
60,1,0.5042735042735049
60,2,0.5042735042762942
60,3,0.5285505455135057
60,4,0.535416598401797
60,5,0.5415398067451803
70,1,0.5036496350364953
70,2,0.5036496350364965
70,3,0.5245762837282992
70,4,0.5317090782484413
70,5,0.5408230646739165
80,1,0.5031847133757948
80,2,0.5031847133757942
80,3,0.5246647587529738
80,4,0.5342626857458231
80,5,0.5403384490376502
