q,gamma,alpha_f,alpha_b,beta_1,beta_2,beta_3,beta_4
0.5,0.6666664854244656,0.33333388046719264,0.9999991178075202,0.9999999978975154,6.945171755736758e-06,0.3333329748651752,7.705615299696822e-06
0.501,0.6666662280588772,0.3333345226558277,0.9999979642003697,0.9999999479467809,0.005326440001813826,0.3333325205143578,0.005326489030030793
0.502,0.6666658568929379,0.3333352678138068,0.9999966009396821,0.9999998967632542,0.01060632571411892,0.33333184061030685,0.010606472788839728
0.503,0.6666655461831387,0.3333357396070007,0.9999956444010989,0.9999998416016666,0.015841076944726872,0.33333128602267686,0.015841356883133397
0.504,0.6666653050153646,0.3333359437104483,0.9999950882425379,0.9999997845153973,0.02103100242144639,0.33333087275506906,0.021031448128077723
0.505,0.6666666438528971,0.3333333040025241,0.9999999900117287,0.9999999906533827,0.02614092104826611,0.3333333045349853,0.026140979857984893
0.506,0.6666665798705563,0.33333317245355093,0.9999999927745316,0.9999999916324146,0.031243759549023812,0.3333331747381293,0.031243811162380928
0.507,0.6666662948230097,0.33333265182405186,0.9999999634003882,0.9999999616092353,0.03630177821064534,0.3333326585091627,0.03630201664756209
0.508,0.66666588891957,0.3333329163410867,0.9999988862871193,0.9999996659742906,0.04132756579327392,0.33333218325271413,0.0413289711704182
0.509,0.6666666091116629,0.33333322433286267,0.9999999963635019,0.9999999962980534,0.04631632025647364,0.3333332248630447,0.04631634292637015
0.51,0.6666663537718017,0.3333327957672627,0.9999999473139487,0.9999999469542512,0.051256375164433154,0.3333328027700161,0.05125669833769604
0.511,0.6666665140795993,0.3333330602995832,0.9999999807748563,0.9999999807532377,0.05616504364920187,0.33333306271958363,0.0561651607035631
0.512,0.6666663975713304,0.3333328373289561,0.9999999747796767,0.9999999746865734,0.061029619073161276,0.33333284056732077,0.061029771532006824
0.513,0.6666664061890473,0.33333293009930315,0.9999999244480334,0.9999999214323049,0.06585950153341534,0.3333329302100818,0.06586104850562607
0.514,0.6666661364602141,0.33333252907159744,0.9999998257696048,0.9999998199638686,0.07064578999639384,0.33333252247196715,0.0706506098406711
0.515,0.66666642788121,0.3333328923859625,0.9999999678099908,0.9999996241182617,0.07540132497980409,0.3333332761827601,0.07540214918607246
0.516,0.6666658164059475,0.33333185403554055,0.9999998096352595,0.9999988274824654,0.08010269991968931,0.3333329749443567,0.08010728044718739
0.517,0.6666658244960113,0.33333197070014153,0.9999997282692006,0.999999208920366,0.08478446767898629,0.33333260119581853,0.08479056348422136
0.518,0.6666658026708071,0.3333320297642858,0.9999996888351884,0.9999994807407363,0.08942895491161823,0.33333228653074265,0.08943634188028103
0.519,0.6666657257527425,0.333332003006638,0.9999996035257989,0.9999994240973858,0.0940346052489781,0.333332242753434,0.09403819248379937
0.52,0.666665657195436,0.3333318017916776,0.9999997377798341,0.9999994806364257,0.09860303264075243,0.3333320142700942,0.0986058379283602
0.521,0.6666662400255722,0.33333271196463893,0.9999999035608725,0.9999998187634501,0.10314718292578837,0.333332716299867,0.10315070397871144
0.522,0.6666660912554655,0.3333325188719337,0.9999998780580543,0.9999997294825642,0.10764406069352102,0.33333252459846163,0.10764835725472367
0.523,0.6666662245719384,0.33333261936061914,0.9999998623163591,0.9999997784522532,0.11210663931875221,0.3333327316658171,0.11211124021392564
0.524,0.666666162904112,0.33333270703633694,0.9999996543002725,0.9999997664940738,0.11653605910430125,0.33333262696088967,0.11654050777553637
0.525,0.6666657552550187,0.33333238741017646,0.9999994149037725,0.9999995150193834,0.12092852438155877,0.33333214046509096,0.12092960205032494
0.526,0.6666655457043352,0.333332003309221,0.9999995159079009,0.9999994049425491,0.12528531975987742,0.33333186800969306,0.12528680343781506
0.527,0.6666658537799163,0.3333328248548199,0.9999990234467789,0.9999995431506589,0.12961729651004059,0.33333230663425417,0.1296182507437516
0.528,0.6666659981332089,0.33333349897230585,0.9999985912063608,0.9999997509946049,0.13391681302702427,0.33333233683979624,0.13391749244372267
0.529,0.6666657718538732,0.3333341867277126,0.999997467514791,0.9999997205689947,0.1381829223900076,0.3333319344338978,0.13818380785381487
0.53,0.6666656850982906,0.3333347196987272,0.9999968218433786,0.999999726988523,0.1424147472937218,0.33333176386003927,0.14241576602691522
0.531,0.6666652879092033,0.33333584786132486,0.9999950380387829,0.9999996475374715,0.14662075138285505,0.3333310940590314,0.14662224991736167
0.532,0.6666664932020113,0.3333330682131037,0.9999999523051858,0.9999999496309611,0.15075023605157728,0.3333330764676274,0.15075051566067435
0.533,0.6666660081849947,0.3333329810818774,0.999999128672461,0.9999996476926749,0.15487724871385447,0.333332496587558,0.15487826103498778
